line,departure_name,departure_time,arrival_time,arrival_name,distance,driving_time,pause,rotation_id,vehicle_type,vehicle_id
7015,Bahnhof, 2022-07-05 16:39:00 , 2022-07-05 16:42:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:42:00 , 2022-07-05 16:45:00 ,Artrium,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 16:46:00 , 2022-07-05 16:49:00 ,Therme,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:49:00 , 2022-07-05 16:52:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:52:00 , 2022-07-05 16:57:00 ,Bahnhof,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:57:00 , 2022-07-05 17:00:00 ,Gries,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 17:01:00 , 2022-07-05 17:04:00 ,Therme,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:04:00 , 2022-07-05 17:09:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:09:00 , 2022-07-05 17:12:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:19:00 , 2022-07-05 17:22:00 ,Artrium,0.32, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 17:22:00 , 2022-07-05 17:27:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:27:00 , 2022-07-05 17:30:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:31:00 , 2022-07-05 17:34:00 ,Bahnhof,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:34:00 , 2022-07-05 17:39:00 ,Gries,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 17:39:00 , 2022-07-05 17:42:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:42:00 , 2022-07-05 17:45:00 ,Artrium,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 17:46:00 , 2022-07-05 17:49:00 ,Marktplatz,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:49:00 , 2022-07-05 17:52:00 ,Artrium,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:52:00 , 2022-07-05 17:57:00 ,Therme,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:57:00 , 2022-07-05 18:00:00 ,Gries,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
