vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
EZ10,0,0,2.626,10,2.018
EZ10,0,0,2.626,16,1.384
EZ10,0,0,2.626,18,0.882
EZ10,0,0,2.626,14,0.887
EZ10,0,0,2.626,20,0.533
EZ10,0,0,2.626,22,0.679
EZ10,0,0,2.626,24,0.569
EZ10,0,0,2.626,28,0.699
EZ10,0,0,2.626,26,0.569
EZ10,0,0,2.626,30,0.901
EZ10,0,0,2.626,32,0.622
EZ10,0,0,12.115,-16,0.931
EZ10,0,0,12.115,-14,0.864
EZ10,0,0,12.115,-12,0.8
EZ10,0,0,12.115,-10,0.738
EZ10,0,0,12.115,-8,0.678
EZ10,0,0,12.115,-6,0.62
EZ10,0,0,12.115,-2,0.562
EZ10,0,0,12.115,-4,0.617
EZ10,0,0,12.115,0,0.51
EZ10,0,0,12.115,2,0.508
EZ10,0,0,12.115,4,0.457
EZ10,0,0,12.115,6,0.41
EZ10,0,0,12.115,12,0.28
EZ10,0,0,12.115,10,0.321
EZ10,0,0,12.115,8,0.364
EZ10,0,0,12.115,14,0.243
EZ10,0,0,12.115,16,0.279
EZ10,0,0,12.115,18,0.242
EZ10,0,0,12.115,22,0.225
EZ10,0,0,12.115,20,0.21
EZ10,0,0,12.115,24,0.213
EZ10,0,0,12.115,28,0.223
EZ10,0,0,12.115,26,0.213
EZ10,0,0,12.115,30,0.238
EZ10,0,0,12.115,32,0.217
EZ10,0,0,17.957,-16,0.678
EZ10,0,0,17.957,-14,0.636
EZ10,0,0,17.957,-12,0.596
EZ10,0,0,17.957,-10,0.557
EZ10,0,0,17.957,-8,0.519
EZ10,0,0,17.957,-6,0.483
EZ10,0,0,17.957,-4,0.48
EZ10,0,0,17.957,-2,0.446
EZ10,0,0,17.957,0,0.412
EZ10,0,0,17.957,2,0.41
EZ10,0,0,17.957,4,0.378
EZ10,0,0,17.957,6,0.347
EZ10,0,0,17.957,8,0.318
EZ10,0,0,17.957,10,0.29
EZ10,0,0,17.957,12,0.263
EZ10,0,0,17.957,14,0.239
EZ10,0,0,17.957,16,0.262
EZ10,0,0,17.957,18,0.237
